,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1920,West Ham,Roberto,ESP,GK,33,1986,7.6,17.0,1.0,1.0,2.0,1.0,17.9,0.34,1.9,0.25,46.0,158,29.1,188,26.0,64.4,44.6,41,90.2,58.8,101,0.0,0.0,10.0,1.31,15.0
ENG-Premier League,1920,West Ham,Łukasz Fabiański,POL,GK,34,1985,23.5,34.0,3.0,1.0,2.0,2.0,32.1,0.27,0.1,0.0,189.0,455,41.5,480,100.0,60.2,43.5,192,86.5,58.6,382,11.0,2.9,8.0,0.34,10.3
ENG-Premier League,1920,Wolves,Rui Patrício,POR,GK,31,1988,38.0,40.0,1.0,1.0,6.0,1.0,35.5,0.26,-3.5,-0.09,250.0,528,47.3,578,127.0,53.1,39.0,283,78.1,48.7,530,20.0,3.8,11.0,0.29,11.7
ENG-Premier League,2021,Arsenal,Bernd Leno,GER,GK,28,1992,34.8,37.0,1.0,0.0,3.0,4.0,32.3,0.26,-0.7,-0.02,78.0,293,26.6,953,183.0,17.2,25.4,227,56.8,43.0,487,18.0,3.7,33.0,0.95,16.1
ENG-Premier League,2021,Arsenal,Mathew Ryan,AUS,GK,28,1992,3.0,2.0,1.0,0.0,0.0,0.0,3.6,0.27,1.6,0.55,3.0,7,42.9,59,21.0,6.8,21.9,9,33.3,29.9,28,6.0,21.4,4.0,1.33,14.3
ENG-Premier League,2021,Arsenal,Rúnar Alex Rúnarsson,ISL,GK,25,1995,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.5,0.0,3,0.0,10,2.0,30.0,28.2,1,0.0,15.0,3,0.0,0.0,0.0,0.0,
ENG-Premier League,2021,Aston Villa,Emiliano Martínez,ARG,GK,27,1992,38.0,46.0,5.0,2.0,4.0,1.0,49.2,0.24,4.2,0.11,247.0,639,38.7,1058,177.0,45.1,37.1,253,64.0,47.0,613,42.0,6.9,34.0,0.89,14.2
ENG-Premier League,2021,Brighton,Mathew Ryan,AUS,GK,28,1992,11.0,19.0,4.0,0.0,3.0,1.0,12.6,0.26,-5.4,-0.49,42.0,111,37.8,355,61.0,25.4,28.8,56,37.5,32.7,136,6.0,4.4,4.0,0.36,10.6
ENG-Premier League,2021,Brighton,Robert Sánchez,ESP,GK,22,1997,27.0,27.0,2.0,0.0,5.0,1.0,23.3,0.24,-2.7,-0.1,151.0,411,36.7,925,118.0,34.7,33.6,177,50.8,41.1,340,22.0,6.5,29.0,1.07,14.5
ENG-Premier League,2021,Burnley,Bailey Peacock-Farrell,NIR,GK,23,1996,4.0,14.0,0.0,0.0,2.0,0.0,7.9,0.33,-6.1,-1.52,43.0,94,45.7,83,6.0,80.7,49.8,29,93.1,64.8,50,0.0,0.0,4.0,1.0,22.8
