,,,players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,vs Liverpool,28,38,694,391,368,254,72,282,602,46.8,320,501,164,337,410,1104,995,23,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,38,537,298,305,183,49,239,575,41.6,336,457,163,294,327,864,818,17,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,38,631,361,312,226,93,338,655,51.6,317,554,165,389,415,1046,616,14,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,38,685,421,356,260,69,322,671,48.0,349,488,167,321,341,1026,854,12,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,38,510,301,197,210,103,235,489,48.1,254,355,88,267,286,796,646,16,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,38,718,418,311,306,101,318,679,46.8,361,445,114,331,318,1036,718,9,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,38,644,393,290,244,110,288,594,48.5,306,502,150,352,322,966,717,12,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,38,623,373,286,249,88,266,515,51.7,249,453,142,311,292,915,816,13,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,38,629,360,281,225,123,302,677,44.6,375,424,114,310,317,946,712,13,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,vs Arsenal,25,38,679,376,396,205,78,304,587,51.8,283,492,220,272,299,978,875,23,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,31,38,731,435,305,309,117,315,660,47.7,345,413,147,266,304,1035,751,20,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,30,38,800,480,389,303,108,414,796,52.0,382,476,161,315,264,1064,813,14,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,28,38,540,329,251,183,106,269,512,52.5,243,444,125,319,293,833,916,17,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,30,38,664,396,330,253,81,322,619,52.0,297,454,165,289,355,1019,733,12,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,31,38,625,387,310,222,93,329,629,52.3,300,413,111,302,292,917,691,12,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,32,38,735,438,361,259,115,365,763,47.8,398,458,147,311,374,1109,708,21,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,26,38,746,446,338,302,106,320,661,48.4,341,452,133,319,301,1047,695,17,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,26,38,587,335,304,216,67,267,517,51.6,250,423,130,293,262,849,873,18,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,25,38,557,333,222,237,98,232,503,46.1,271,505,124,381,321,878,815,16,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,30,38,738,438,413,269,56,331,662,50.0,331,553,224,329,378,1116,1060,18,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,28,38,716,418,348,269,99,331,685,48.3,354,469,140,329,269,985,839,18,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,25,38,638,335,379,193,66,282,659,42.8,377,537,207,330,314,952,847,13,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,31,38,645,373,344,210,91,303,614,49.3,311,489,172,317,378,1023,713,18,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,32,38,688,409,314,283,91,288,643,44.8,355,481,152,329,342,1030,735,24,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,33,38,554,341,234,219,101,268,543,49.4,275,391,113,278,289,843,747,12,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,35,38,608,357,288,225,95,285,535,53.3,250,412,106,306,275,883,610,9,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,29,38,738,411,375,256,107,363,722,50.3,359,598,170,428,416,1154,783,16,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,26,38,718,406,310,315,93,321,674,47.6,353,451,108,343,253,971,766,15,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,27,38,713,431,296,288,129,324,739,43.8,415,394,107,287,329,1042,613,16,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,vs Arsenal,23,17,340,205,199,107,34,147,291,50.5,144,184,68,116,112,452,414,11,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,297,169,139,113,45,126,266,47.4,140,189,63,126,154,451,337,11,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,304,184,139,131,34,142,267,53.2,125,183,81,102,116,420,404,20,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,277,164,124,93,60,132,247,53.4,115,155,44,111,149,426,425,15,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,353,200,183,124,46,191,343,55.7,152,210,81,129,149,502,365,14,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,297,166,148,111,38,161,322,50.0,161,196,75,121,134,431,340,20,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,270,153,92,131,47,104,189,55.0,85,197,72,125,172,442,326,12,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,324,201,153,126,45,149,286,52.1,137,171,50,121,88,412,292,11,/en/squads/d3fd31cc/Everton-Stats
