,,,players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Unnamed: 20_level_1
league,season,team,,,,,,,,,,,,,,,,,,
ENG-Premier League,2223,vs Leicester City,28,38,20664,18816,1770,461,75,157,712,756,236,129,58,5,16629,78,402,/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
ENG-Premier League,2223,vs Liverpool,28,38,15970,14167,1715,466,76,122,515,677,134,75,34,1,11949,88,315,/en/squads/822bd0ba/2022-2023/Liverpool-Stats
ENG-Premier League,2223,vs Manchester City,24,38,14441,12946,1423,382,30,104,395,489,97,50,25,5,11294,72,261,/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
ENG-Premier League,2223,vs Manchester Utd,26,38,17675,15911,1721,476,45,105,670,651,207,105,59,4,13767,43,395,/en/squads/19538871/2022-2023/Manchester-United-Stats
ENG-Premier League,2223,vs Newcastle Utd,27,38,16389,14572,1761,460,49,116,564,717,162,76,52,2,12444,56,381,/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
ENG-Premier League,2223,vs Nott'ham Forest,33,38,22551,20654,1839,477,79,123,817,816,239,99,93,6,18444,58,413,/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
ENG-Premier League,2223,vs Southampton,36,38,20617,18768,1796,471,78,164,686,802,208,82,71,4,16376,53,417,/en/squads/33c895d4/2022-2023/Southampton-Stats
ENG-Premier League,2223,vs Tottenham,29,38,19765,18051,1667,467,58,123,665,648,196,87,56,14,16079,47,327,/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
ENG-Premier League,2223,vs West Ham,25,38,22778,21093,1640,406,75,126,730,691,195,84,79,2,18872,45,320,/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
ENG-Premier League,2223,vs Wolves,32,38,18284,16482,1765,493,61,140,735,755,203,104,64,4,14585,37,364,/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
ENG-Premier League,2324,vs Arsenal,25,38,16241,14590,1591,459,39,72,476,562,113,74,31,1,12735,60,337,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
ENG-Premier League,2324,vs Aston Villa,31,38,17430,15821,1442,431,124,83,542,508,161,84,52,5,14216,167,313,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
ENG-Premier League,2324,vs Bournemouth,30,38,20032,18073,1909,544,65,71,649,743,214,89,55,5,15916,50,400,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
ENG-Premier League,2324,vs Brentford,28,38,20488,18673,1759,439,47,90,764,731,218,106,72,4,16393,56,383,/en/squads/cd051869/2023-2024/Brentford-Stats
ENG-Premier League,2324,vs Brighton,30,38,16750,15107,1572,466,50,72,526,560,167,98,38,9,13433,71,331,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2324,vs Burnley,31,38,20216,18373,1748,470,76,98,700,696,242,139,57,5,16155,95,344,/en/squads/943e8050/2023-2024/Burnley-Stats
ENG-Premier League,2324,vs Chelsea,32,38,16487,14718,1699,495,56,107,683,645,190,97,46,8,13051,70,345,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
ENG-Premier League,2324,vs Crystal Palace,26,38,23229,21322,1833,514,65,132,769,781,197,103,60,4,19197,74,405,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
ENG-Premier League,2324,vs Everton,26,38,22807,20775,1970,524,53,140,716,815,241,98,70,4,18660,62,355,/en/squads/d3fd31cc/2023-2024/Everton-Stats
ENG-Premier League,2324,vs Fulham,25,38,19973,18262,1612,398,73,109,597,651,188,76,71,4,16233,99,363,/en/squads/fd962109/2023-2024/Fulham-Stats
ENG-Premier League,2324,vs Liverpool,30,38,15575,13687,1813,538,51,80,477,635,150,71,50,4,11775,75,389,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
ENG-Premier League,2324,vs Luton Town,28,38,20927,19023,1855,478,96,85,698,796,226,84,82,10,16911,49,360,/en/squads/e297cd13/2023-2024/Luton-Town-Stats
ENG-Premier League,2324,vs Manchester City,25,38,14869,13414,1373,319,48,82,399,476,129,62,47,3,11864,82,308,/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
ENG-Premier League,2324,vs Manchester Utd,31,38,19160,17369,1739,465,66,116,780,631,279,133,85,7,15396,52,387,/en/squads/19538871/2023-2024/Manchester-United-Stats
ENG-Premier League,2324,vs Newcastle Utd,32,38,18229,16462,1713,424,73,86,588,665,195,86,53,5,14538,54,381,/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
ENG-Premier League,2324,vs Nott'ham Forest,33,38,23038,21232,1768,476,51,128,799,715,245,129,58,4,19163,38,389,/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
ENG-Premier League,2324,vs Sheffield Utd,35,38,24573,22704,1800,462,103,129,845,793,269,113,97,4,20549,69,389,/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
ENG-Premier League,2324,vs Tottenham,29,38,15111,13212,1774,481,68,147,661,658,236,143,61,6,11600,125,379,/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
ENG-Premier League,2324,vs West Ham,26,38,23658,21913,1691,429,69,106,758,691,226,114,55,6,19795,54,357,/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
ENG-Premier League,2324,vs Wolves,27,38,20265,18405,1813,528,56,76,731,724,224,109,61,1,16495,47,381,/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
ENG-Premier League,2425,vs Arsenal,23,17,7148,6418,710,223,21,32,257,243,55,29,13,1,5744,20,122,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2425,vs Aston Villa,23,17,8004,7330,638,214,25,41,282,197,66,45,11,2,6740,36,121,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2425,vs Bournemouth,25,17,8734,7816,901,253,30,24,283,350,95,62,14,2,6958,17,174,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2425,vs Brentford,23,17,8699,7934,739,159,30,38,383,293,124,69,23,0,7029,26,153,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2425,vs Brighton,28,17,7793,6970,773,215,37,44,268,287,89,65,10,2,6224,50,154,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2425,vs Chelsea,24,17,7121,6353,720,212,32,20,223,256,64,36,16,0,5696,48,148,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2425,vs Crystal Palace,25,17,9548,8731,794,207,40,41,322,327,104,66,18,4,7788,23,184,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2425,vs Everton,24,16,9489,8727,734,218,28,50,303,300,91,64,9,2,7986,28,119,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2425,vs Fulham,25,17,8279,7509,726,194,37,42,290,278,86,62,15,1,6801,44,142,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2425,vs Ipswich Town,28,17,9435,8649,765,222,48,54,315,304,110,60,21,1,7833,21,127,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,2425,vs Leicester City,25,17,9135,8339,777,208,27,50,335,309,112,74,18,0,7525,19,186,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,2425,vs Liverpool,23,16,7069,6328,708,197,22,35,222,255,72,38,11,1,5675,33,143,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2425,vs Manchester City,22,17,6842,6211,592,145,35,45,180,212,51,36,9,1,5628,39,123,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2425,vs Manchester Utd,25,17,7974,7246,708,212,30,31,253,267,79,52,15,0,6472,20,134,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2425,vs Newcastle Utd,22,17,8164,7392,745,197,42,34,306,275,93,45,24,0,6571,27,173,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2425,vs Nott'ham Forest,23,17,9524,8725,781,230,22,50,371,296,108,68,19,0,7903,18,145,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2425,vs Southampton,31,17,8346,7631,696,220,34,41,346,249,125,81,18,3,7028,19,123,/en/squads/33c895d4/Southampton-Stats
ENG-Premier League,2425,vs Tottenham,25,17,6952,6158,758,215,27,43,287,253,94,57,18,2,5461,36,155,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2425,vs West Ham,25,17,8793,7963,806,225,44,37,359,326,108,54,23,3,7098,24,149,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2425,vs Wolves,24,17,8694,7868,791,237,25,35,357,275,129,88,15,0,7136,35,162,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
