,,,players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,vs Wolves,26,50.4,38,23724,2067,6733,11161,6047,929,23714,671,398,59.3,273,40.7,13637,73717,38705,780,532,190,501,400,15627,1502,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
ENG-Premier League,2223,vs Arsenal,26,40.1,38,19203,2933,7798,7683,3935,673,19197,587,260,44.3,249,42.4,10264,53994,26091,510,354,147,476,319,11310,901,/en/squads/18bb7c10/2022-2023/Arsenal-Stats
ENG-Premier League,2223,vs Aston Villa,26,50.6,38,22020,2102,7107,9894,5219,870,22014,730,333,45.6,313,42.9,12332,62377,31979,607,425,184,486,320,14144,1306,/en/squads/8602292d/2022-2023/Aston-Villa-Stats
ENG-Premier League,2223,vs Bournemouth,31,59.9,38,26820,2088,7398,11841,7803,1107,26813,697,350,50.2,256,36.7,16186,82870,42849,810,575,211,550,362,18578,1976,/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
ENG-Premier League,2223,vs Brentford,25,56.6,38,24216,2369,6890,10625,6903,895,24214,689,346,50.2,253,36.7,13624,72302,37380,741,656,155,547,334,15840,1530,/en/squads/cd051869/2022-2023/Brentford-Stats
ENG-Premier League,2223,vs Brighton,29,39.5,38,19339,2866,7920,7496,4111,711,19331,646,295,45.7,266,41.2,10294,53241,26098,527,367,173,513,350,11532,1012,/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2223,vs Chelsea,32,41.0,38,20668,2640,7410,8359,5105,760,20667,746,323,43.3,333,44.6,11149,58693,30130,593,416,167,545,407,12479,1188,/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
ENG-Premier League,2223,vs Crystal Palace,26,53.9,38,24639,2382,7900,10905,6036,947,24635,622,251,40.4,281,45.2,14512,74733,38926,590,485,139,584,409,16193,1581,/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
ENG-Premier League,2223,vs Everton,28,57.4,38,25326,2438,8031,11022,6477,1025,25320,694,302,43.5,309,44.5,14664,76078,40728,752,496,212,582,399,16932,1670,/en/squads/d3fd31cc/2022-2023/Everton-Stats
ENG-Premier League,2223,vs Fulham,29,51.3,38,23237,2494,7912,10258,5262,887,23229,681,286,42.0,299,43.9,13030,65884,33016,559,353,166,541,326,14833,1390,/en/squads/fd962109/2022-2023/Fulham-Stats
