,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Cardiff City,Aron Gunnarsson,ISL,MF,29,1989,25.2,44,1.75,28,9,0,1,5,1,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Bobby Reid,JAM,"FW,MF",25,1993,15.8,37,2.34,25,0,3,5,4,0,7,0.44,4,0,1,2,0,0
ENG-Premier League,1819,Cardiff City,Bruno Ecuele Manga,GAB,DF,30,1988,37.5,24,0.64,17,3,0,3,1,0,4,0.11,3,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Callum Paterson,SCO,"FW,MF",23,1994,22.2,44,1.98,35,0,0,6,3,0,2,0.09,0,0,0,2,0,0
ENG-Premier League,1819,Cardiff City,Danny Ward,ENG,FW,26,1991,4.9,15,3.04,11,1,0,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Gary Madine,ENG,"FW,MF",27,1990,0.4,3,7.3,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Greg Cunningham,IRL,DF,27,1991,7.0,9,1.29,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Harry Arter,IRL,MF,28,1989,22.2,37,1.67,32,1,1,2,1,0,6,0.27,5,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Jazz Richards,WAL,"DF,MF",27,1991,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Joe Bennett,ENG,DF,28,1990,29.3,34,1.16,29,1,0,1,3,0,2,0.07,1,0,0,0,1,0
ENG-Premier League,1819,Cardiff City,Joe Ralls,ENG,MF,24,1993,21.8,61,2.8,28,26,1,4,1,1,2,0.09,0,2,0,0,0,0
ENG-Premier League,1819,Cardiff City,Josh Murphy,ENG,"MF,FW",23,1995,20.2,55,2.72,28,4,4,8,11,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Junior Hoilett,CAN,"MF,FW",28,1990,23.8,56,2.35,31,9,4,4,7,1,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Kadeem Harris,ENG,MF,25,1993,4.2,12,2.88,9,0,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Kenneth Zohore,DEN,FW,24,1994,8.4,22,2.63,18,0,1,1,2,0,1,0.12,1,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Leandro Bacuna,CUW,MF,26,1991,6.2,7,1.12,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Lee Peltier,ENG,DF,31,1986,17.2,12,0.7,9,2,0,0,1,0,1,0.06,0,1,0,0,0,0
ENG-Premier League,1819,Cardiff City,Loïc Damour,FRA,MF,27,1991,0.3,2,7.83,1,0,0,1,0,0,1,3.91,0,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Nathaniel Mendez-Laing,GUA,"MF,FW",26,1992,10.9,40,3.65,25,1,10,2,1,1,5,0.46,2,0,2,0,1,0
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,1990,38.0,11,0.29,7,4,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Oumar Niasse,SEN,FW,28,1990,10.3,21,2.03,12,0,5,2,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Rhys Healey,WAL,FW,23,1994,0.6,4,6.92,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Sean Morrison,ENG,DF,27,1991,33.8,34,1.01,26,4,0,4,0,0,4,0.12,3,0,0,1,0,0
ENG-Premier League,1819,Cardiff City,Sol Bamba,CIV,DF,33,1985,27.5,18,0.65,10,1,1,5,1,0,2,0.07,2,0,0,0,0,0
ENG-Premier League,1819,Cardiff City,Víctor Camarasa,ESP,MF,24,1994,28.5,91,3.19,57,27,1,5,1,0,7,0.25,5,1,0,1,0,0
ENG-Premier League,1819,Chelsea,Andreas Christensen,DEN,DF,22,1996,6.9,3,0.44,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,Antonio Rüdiger,GER,DF,25,1993,31.9,32,1.0,26,0,0,5,0,1,3,0.09,1,0,0,2,0,0
ENG-Premier League,1819,Chelsea,Callum Hudson-Odoi,ENG,FW,17,2000,4.4,15,3.44,13,0,1,1,0,0,2,0.46,1,0,1,0,0,0
ENG-Premier League,1819,Chelsea,Cesc Fàbregas,ESP,MF,31,1987,2.0,8,4.0,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Chelsea,César Azpilicueta,ESP,DF,28,1989,37.8,67,1.77,60,2,1,1,2,1,10,0.26,9,0,0,0,1,0
ENG-Premier League,1819,Chelsea,David Luiz,BRA,DF,31,1987,36.0,45,1.25,40,0,0,4,1,0,2,0.06,2,0,0,0,0,0
