,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,11.0,150,224,67.0,2192,680,89,112,79.5,48,71,67.6,7,12,58.3,2,1.3,1.0,0.7,9,18,11,1,42
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,8.3,515,560,92.0,9295,3045,203,211,96.2,275,288,95.5,34,48,70.8,0,0.2,0.2,-0.2,1,27,2,1,36
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,9.3,410,495,82.8,6127,1488,244,264,92.4,125,150,83.3,30,61,49.2,0,0.3,0.7,-0.3,7,17,4,0,31
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,0.1,11,13,84.6,172,23,5,7,71.4,6,6,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,3
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,1.9,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0,0.2,0.2,-0.2,4,3,1,1,10
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,13.9,940,1042,90.2,18460,7372,329,356,92.4,495,521,95.0,109,146,74.7,1,0.8,0.7,0.2,7,103,4,2,116
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,8.5,208,282,73.8,2926,770,126,163,77.3,57,77,74.0,13,19,68.4,3,1.7,1.6,1.3,13,18,15,2,32
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,11.4,412,520,79.2,6877,1919,214,240,89.2,156,192,81.3,36,59,61.0,0,0.3,1.1,-0.3,3,31,3,2,39
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,1.8,74,107,69.2,1109,302,45,55,81.8,20,27,74.1,5,17,29.4,0,0.2,0.2,-0.2,5,10,2,1,7
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,16.1,421,545,77.2,5689,1242,272,312,87.2,114,151,75.5,18,36,50.0,2,3.4,2.6,-1.4,25,21,20,6,52
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,12.0,939,1030,91.2,17008,5558,371,383,96.9,488,515,94.8,68,113,60.2,0,0.5,0.5,-0.5,5,78,1,0,77
