,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,"MF,FW",22-047,2002,10.8,398,501,79.4,6498,2164,208,229,90.8,148,186,79.6,33,60,55.0,5,2.5,2.3,2.5,25,40,5,2,50
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",18-234,2006,0.3,7,8,87.5,86,7,6,7,85.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,29-126,1995,0.4,23,31,74.2,306,170,17,19,89.5,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,27-021,1997,2.4,86,113,76.1,1305,411,48,56,85.7,32,41,78.0,5,9,55.6,0,0.0,0.1,0.0,1,5,1,0,8
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,30-052,1994,4.2,142,178,79.8,2249,762,81,87,93.1,51,58,87.9,8,23,34.8,0,0.1,0.4,-0.1,3,16,2,0,16
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",25-144,1999,5.8,72,118,61.0,993,328,43,58,74.1,20,33,60.6,4,8,50.0,1,1.3,1.5,-0.3,9,1,6,2,12
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,32-301,1992,17.0,228,448,50.9,8350,7157,38,38,100.0,73,75,97.3,117,330,35.5,0,0.0,0.1,0.0,0,18,1,0,1
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23-176,2001,2.9,58,77,75.3,879,467,31,33,93.9,24,28,85.7,1,7,14.3,0,0.0,0.0,0.0,0,2,0,0,6
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24-331,2000,11.2,369,472,78.2,5334,1665,225,263,85.6,99,123,80.5,28,43,65.1,2,2.5,2.5,-0.5,23,61,10,2,54
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22-172,2002,16.7,539,672,80.2,10090,4516,232,254,91.3,231,264,87.5,63,129,48.8,0,0.9,0.6,-0.9,10,49,6,0,49
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,23-254,2001,8.2,222,293,75.8,3432,1299,135,150,90.0,67,93,72.0,14,28,50.0,1,0.5,0.4,0.5,6,16,9,3,29
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26-178,1998,9.0,365,426,85.7,5070,1547,223,245,91.0,105,120,87.5,15,24,62.5,0,0.2,0.3,-0.2,3,36,2,0,31
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,27-072,1997,16.0,386,459,84.1,7587,2827,132,147,89.8,199,225,88.4,49,69,71.0,1,0.2,0.3,0.8,4,25,0,0,24
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,28-076,1996,16.3,537,717,74.9,8221,3445,295,334,88.3,192,261,73.6,30,78,38.5,0,0.5,1.1,-0.5,7,49,9,6,61
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",25-114,1999,1.7,39,57,68.4,608,168,18,24,75.0,15,22,68.2,3,5,60.0,0,0.4,0.3,-0.4,7,2,4,2,4
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,27-032,1997,13.5,425,503,84.5,6043,1272,238,265,89.8,142,160,88.8,19,32,59.4,0,0.7,0.4,-0.7,12,34,3,0,33
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,27-133,1997,2.3,28,44,63.6,316,39,21,27,77.8,6,14,42.9,0,2,0.0,0,0.1,0.1,-0.1,1,1,1,0,3
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,33-324,1991,1.0,44,55,80.0,845,382,14,15,93.3,25,27,92.6,4,12,33.3,0,0.0,0.0,0.0,0,2,0,0,2
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,DF,31-198,1993,8.8,243,342,71.1,3574,1452,146,171,85.4,75,114,65.8,11,34,32.4,1,1.0,0.8,0.0,4,19,7,1,28
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26-223,1998,10.0,327,453,72.2,7450,5424,110,110,100.0,142,151,94.0,69,185,37.3,0,0.0,0.0,0.0,0,10,1,0,0
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",27-317,1997,10.5,168,209,80.4,2421,331,102,115,88.7,55,66,83.3,6,10,60.0,1,0.4,0.4,0.6,6,9,6,1,16
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,36-227,1988,3.5,200,228,87.7,2612,842,134,147,91.2,54,57,94.7,3,7,42.9,2,0.9,0.4,1.1,3,19,8,2,22
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-020,1989,4.0,90,117,76.9,1791,1126,38,40,95.0,36,40,90.0,15,35,42.9,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,25-249,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23-155,2001,10.0,113,138,81.9,1506,236,71,81,87.7,31,36,86.1,4,6,66.7,0,0.2,0.4,-0.2,1,5,5,0,9
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,22-023,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,31-096,1993,2.5,130,153,85.0,2255,494,49,53,92.5,70,79,88.6,9,14,64.3,0,0.1,0.1,-0.1,1,6,2,1,6
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,25-338,1999,14.5,669,734,91.1,9797,1985,390,414,94.2,230,249,92.4,25,38,65.8,0,0.9,1.1,-0.9,12,40,9,0,48
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,30-331,1994,8.8,576,619,93.1,9819,2898,231,248,93.1,314,330,95.2,19,24,79.2,0,0.1,0.2,-0.1,2,40,5,0,43
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,27-073,1997,1.6,86,99,86.9,1414,325,44,45,97.8,37,43,86.0,5,9,55.6,0,0.2,0.1,-0.2,2,2,1,0,6
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,28-255,1996,12.9,982,1050,93.5,16845,5892,410,430,95.3,503,528,95.3,61,76,80.3,0,0.4,0.8,-0.4,3,53,0,0,34
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,MF,28-155,1996,10.7,378,435,86.9,5286,925,227,257,88.3,131,142,92.3,9,12,75.0,0,1.2,1.0,-1.2,7,16,3,1,32
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29-312,1995,3.0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0.0,0.0,0.0,0,2,0,0,0
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",22-312,2002,0.7,15,18,83.3,229,0,9,10,90.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,27-254,1997,14.9,806,892,90.4,12279,3416,432,459,94.1,331,363,91.2,28,36,77.8,2,1.6,1.2,0.4,9,58,13,1,62
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,20-272,2004,2.7,94,109,86.2,1358,224,49,50,98.0,37,41,90.2,2,5,40.0,0,0.2,0.1,-0.2,2,5,3,1,5
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20-166,2004,13.7,469,581,80.7,7563,1912,241,278,86.7,166,194,85.6,39,66,59.1,1,1.1,1.4,-0.1,11,38,9,0,64
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28-087,1996,0.8,17,22,77.3,262,37,9,10,90.0,6,8,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22-206,2002,3.8,231,238,97.1,3814,849,100,102,98.0,120,123,97.6,7,8,87.5,0,0.0,0.0,0.0,1,5,0,0,4
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30-209,1994,1.3,20,33,60.6,309,94,10,19,52.6,7,8,87.5,2,4,50.0,0,0.0,0.0,0.0,1,1,0,0,2
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,21-270,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,"FW,MF",28-165,1996,1.5,36,45,80.0,527,59,16,19,84.2,17,19,89.5,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,1
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",30-303,1994,3.4,76,102,74.5,1107,208,42,45,93.3,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,DF,28-192,1996,7.3,258,326,79.1,4311,1189,131,140,93.6,103,122,84.4,19,41,46.3,0,1.2,1.4,-1.2,11,5,3,3,6
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18-158,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",21-330,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22-328,2002,14.6,1009,1135,88.9,18175,6244,388,413,93.9,537,582,92.3,74,121,61.2,0,0.4,0.2,-0.4,7,88,4,0,55
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",18-286,2006,10.8,246,311,79.1,3928,915,127,146,87.0,105,124,84.7,12,25,48.0,0,1.2,1.0,-1.2,13,19,13,1,35
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,24-306,2000,2.7,91,127,71.7,1300,187,50,58,86.2,35,45,77.8,2,14,14.3,0,0.3,0.5,-0.3,3,3,1,1,8
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,DF,24-178,2000,9.7,455,563,80.8,7248,2180,240,267,89.9,182,218,83.5,25,51,49.0,1,2.1,1.6,-1.1,13,33,15,4,46
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,19-247,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",18-286,2006,3.7,270,302,89.4,4367,1348,123,131,93.9,131,144,91.0,13,19,68.4,0,0.0,0.0,0.0,0,9,0,0,11
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,31-243,1993,3.0,160,177,90.4,3057,1400,54,58,93.1,92,95,96.8,13,20,65.0,0,0.0,0.0,0.0,0,11,0,0,11
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,23-214,2001,13.4,251,359,69.9,3257,836,152,194,78.4,79,107,73.8,7,15,46.7,2,1.2,1.1,0.8,12,11,20,4,35
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,26-240,1998,10.8,793,880,90.1,14806,5799,275,298,92.3,451,477,94.5,57,85,67.1,0,0.5,0.7,-0.5,6,85,7,1,48
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24-242,2000,14.7,361,504,71.6,5066,1705,223,262,85.1,102,138,73.9,19,47,40.4,3,3.8,2.6,-0.8,37,35,36,3,71
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22-025,2002,14.5,675,775,87.1,9555,2983,387,423,91.5,249,279,89.2,14,19,73.7,1,1.2,1.0,-0.2,12,60,5,1,86
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,24-136,2000,2.6,159,171,93.0,2218,529,91,92,98.9,57,62,91.9,3,4,75.0,1,0.5,0.3,0.5,2,15,2,1,17
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27-100,1997,13.8,156,215,72.6,2107,558,94,124,75.8,41,53,77.4,8,13,61.5,3,2.1,0.9,0.9,11,15,6,0,28
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,36-281,1988,5.0,131,151,86.8,2513,1466,43,44,97.7,73,77,94.8,13,27,48.1,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-077,1996,12.0,421,460,91.5,7911,4683,139,140,99.3,235,239,98.3,41,74,55.4,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,28-030,1996,12.0,594,739,80.4,9611,2986,293,326,89.9,239,278,86.0,41,99,41.4,4,2.7,4.4,1.3,26,62,25,5,92
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,18-325,2006,2.3,160,179,89.4,2609,520,77,81,95.1,64,71,90.1,14,17,82.4,0,0.2,0.4,-0.2,2,10,4,2,14
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23-248,2001,8.8,589,645,91.3,11030,3317,180,196,91.8,369,383,96.3,35,53,66.0,2,1.2,0.7,0.8,2,41,1,0,43
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17-134,2007,0.9,15,22,68.2,164,46,7,7,100.0,4,7,57.1,0,2,0.0,0,0.0,0.0,0.0,0,0,2,0,3
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22-100,2002,10.1,487,558,87.3,7654,1829,262,290,90.3,190,210,90.5,27,35,77.1,2,1.2,0.4,0.8,8,55,6,2,52
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25-101,1999,16.0,755,1018,74.2,12993,4965,392,443,88.5,272,348,78.2,74,163,45.4,2,1.6,1.8,0.4,26,70,28,11,88
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22-324,2002,9.0,473,549,86.2,8900,3663,161,174,92.5,274,295,92.9,31,66,47.0,0,0.0,0.1,0.0,0,33,0,0,28
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27-227,1997,1.0,23,34,67.6,300,69,13,14,92.9,7,13,53.8,1,2,50.0,1,0.8,0.5,0.2,2,4,0,0,5
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27-181,1997,5.9,356,391,91.0,5743,1424,168,181,92.8,162,170,95.3,16,22,72.7,0,0.1,0.2,-0.1,2,41,3,0,40
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32-168,1992,11.8,393,485,81.0,5705,1455,233,255,91.4,118,140,84.3,23,40,57.5,6,5.7,3.5,0.3,28,20,33,5,67
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28-292,1996,4.5,125,192,65.1,1866,495,62,77,80.5,48,68,70.6,6,17,35.3,3,2.5,1.5,0.5,9,2,14,2,23
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,FW,19-247,2005,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,FW,20-025,2004,1.8,59,78,75.6,728,105,42,46,91.3,14,20,70.0,0,1,0.0,0,0.1,0.1,-0.1,3,3,3,0,10
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28-115,1996,9.2,483,541,89.3,7505,2036,256,277,92.4,183,193,94.8,26,44,59.1,0,0.2,0.5,-0.2,4,39,7,0,54
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35-008,1989,0.4,26,36,72.2,502,194,11,15,73.3,13,16,81.3,2,4,50.0,0,0.1,0.1,-0.1,2,2,0,0,3
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27-027,1997,15.0,590,725,81.4,8430,3067,382,424,90.1,179,225,79.6,21,45,46.7,0,0.5,1.1,-0.5,12,45,14,4,67
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,7.5,211,289,73.0,5752,4223,46,46,100.0,97,102,95.1,67,136,49.3,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24-224,2000,0.6,46,47,97.9,790,156,22,22,100.0,17,18,94.4,5,5,100.0,0,0.0,0.0,0.0,0,6,0,0,4
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,MF,27-356,1997,6.7,257,304,84.5,4052,1206,137,144,95.1,95,116,81.9,17,30,56.7,1,0.9,0.8,0.1,8,23,7,0,27
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23-054,2001,7.1,155,205,75.6,2345,510,97,117,82.9,46,51,90.2,9,19,47.4,1,1.5,1.7,-0.5,14,7,11,5,14
ENG-Premier League,2425,West Ham,Danny Ings,ENG,FW,32-153,1992,2.0,42,65,64.6,530,65,29,34,85.3,11,20,55.0,0,4,0.0,1,0.7,0.1,0.3,4,2,0,0,3
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27-060,1997,8.8,383,446,85.9,6529,2005,181,204,88.7,171,189,90.5,29,41,70.7,0,0.4,0.5,-0.4,6,41,7,1,40
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30-142,1994,13.1,509,635,80.2,7430,2755,294,328,89.6,169,211,80.1,28,66,42.4,1,1.2,1.6,-0.2,13,27,8,4,34
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30-255,1994,9.2,351,420,83.6,5981,1690,164,191,85.9,153,167,91.6,28,43,65.1,0,0.1,0.1,-0.1,2,32,1,0,28
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30-052,1994,0.2,11,15,73.3,150,61,6,6,100.0,4,5,80.0,0,3,0.0,0,0.0,0.0,0.0,0,2,0,0,4
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28-003,1996,16.7,304,439,69.2,5027,1617,167,206,81.1,101,132,76.5,31,65,47.7,4,4.0,4.1,0.0,36,29,28,3,59
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24-359,1999,7.7,317,361,87.8,6044,2102,99,106,93.4,192,203,94.6,24,46,52.2,0,0.0,0.0,0.0,2,10,0,0,10
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20-056,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27-012,1997,11.1,515,608,84.7,10222,3600,172,192,89.6,286,315,90.8,53,88,60.2,0,0.4,0.4,-0.4,3,41,3,1,37
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,MF,27-118,1997,13.3,524,687,76.3,8835,2704,265,322,82.3,184,230,80.0,62,100,62.0,0,1.7,1.2,-1.7,20,64,17,1,65
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,MF,18-318,2006,0.1,2,4,50.0,25,0,1,2,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,27-214,1997,17.0,760,884,86.0,14943,5259,250,271,92.3,425,462,92.0,80,136,58.8,1,0.8,0.7,0.2,10,62,2,0,72
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,34-270,1990,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"MF,FW",24-143,2000,11.0,279,338,82.5,4680,837,142,162,87.7,107,114,93.9,25,36,69.4,1,1.4,1.5,-0.4,13,21,15,8,36
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,31-318,1993,1.9,25,36,69.4,294,52,15,18,83.3,5,10,50.0,1,2,50.0,0,0.2,0.1,-0.2,2,1,0,0,1
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19-011,2005,0.4,8,17,47.1,154,57,1,3,33.3,7,10,70.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,1
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,29-300,1995,12.9,320,438,73.1,5389,1556,160,202,79.2,121,163,74.2,32,46,69.6,0,0.5,0.7,-0.5,11,38,5,0,40
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32-123,1992,4.9,171,239,71.5,2934,1188,80,93,86.0,69,96,71.9,18,41,43.9,0,0.3,0.5,-0.3,3,18,5,3,19
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,39-249,1985,9.5,216,348,62.1,6377,4655,40,40,100.0,99,100,99.0,77,207,37.2,0,0.0,0.0,0.0,0,4,0,0,0
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,20-297,2004,0.0,1,1,100.0,23,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2425,Wolves,André,BRA,MF,23-160,2001,9.1,388,422,91.9,6510,1654,191,203,94.1,156,163,95.7,31,38,81.6,0,0.2,0.3,-0.2,4,27,2,0,31
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",20-279,2004,2.3,45,71,63.4,602,206,27,38,71.1,16,22,72.7,1,4,25.0,0,0.0,0.1,0.0,1,1,3,1,7
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,24-322,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,34-231,1990,9.9,446,514,86.8,8988,2997,139,148,93.9,247,265,93.2,50,86,58.1,0,0.0,0.1,0.0,2,21,1,0,19
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29-063,1995,0.5,11,16,68.8,132,78,7,7,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,1,0,2
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"FW,MF",28-024,1996,3.8,71,109,65.1,1247,415,33,42,78.6,32,47,68.1,5,13,38.5,4,0.8,0.4,3.2,8,5,9,3,17
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",28-332,1996,3.7,83,98,84.7,1130,211,51,57,89.5,24,27,88.9,3,3,100.0,0,0.1,0.2,-0.1,2,3,3,2,6
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-179,1998,8.1,158,202,78.2,2491,405,91,100,91.0,55,69,79.7,11,19,57.9,2,0.6,0.8,1.4,10,10,6,3,13
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31-341,1993,10.0,196,320,61.3,5477,3965,32,32,100.0,109,110,99.1,54,176,30.7,0,0.1,0.0,-0.1,1,8,1,0,0
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,23-315,2001,15.1,555,662,83.8,8367,2165,310,350,88.6,182,212,85.8,38,56,67.9,1,0.3,0.7,0.7,9,51,7,0,68
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,24-321,2000,15.5,134,221,60.6,1745,305,83,126,65.9,31,53,58.5,6,7,85.7,2,1.3,0.6,0.7,10,6,3,1,12
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31-113,1993,14.8,474,588,80.6,9066,2779,171,201,85.1,239,270,88.5,54,90,60.0,3,1.1,1.1,1.9,10,40,11,3,45
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-210,1999,15.8,382,542,70.5,6219,2215,217,263,82.5,106,138,76.8,45,95,47.4,3,4.9,3.0,-1.9,31,49,33,9,63
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,32-342,1992,5.9,251,322,78.0,4324,1330,121,139,87.1,103,138,74.6,25,36,69.4,1,1.3,0.5,-0.3,6,15,6,1,18
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,31-037,1993,13.6,494,608,81.3,7974,2403,257,285,90.2,199,236,84.3,33,63,52.4,3,1.3,0.7,1.7,10,42,6,2,34
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32-226,1992,2.0,60,94,63.8,1020,400,28,37,75.7,23,26,88.5,6,16,37.5,0,0.4,0.4,-0.4,3,10,4,0,12
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-200,2001,15.2,610,721,84.6,8781,2540,367,397,92.4,212,240,88.3,16,42,38.1,3,1.5,1.0,1.5,14,36,12,3,53
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21-169,2003,3.9,78,120,65.0,1034,287,53,66,80.3,22,37,59.5,1,7,14.3,0,0.2,0.1,-0.2,4,2,3,0,6
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31-273,1993,7.0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,0,0.0,0.0,0.0,1,6,0,0,0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,26-044,1998,8.8,347,408,85.0,6397,2069,133,147,90.5,174,193,90.2,33,53,62.3,0,0.0,0.0,0.0,0,10,1,0,15
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,23-067,2001,3.8,222,271,81.9,4780,1486,78,83,94.0,90,101,89.1,50,71,70.4,1,0.4,0.2,0.6,6,31,2,0,29
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,25-342,1999,13.0,609,729,83.5,10704,3857,262,295,88.8,293,320,91.6,47,87,54.0,1,0.6,0.4,0.4,4,39,2,0,35
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,23-235,2001,4.9,205,240,85.4,3996,1184,66,73,90.4,115,123,93.5,22,35,62.9,0,0.1,0.0,-0.1,2,16,1,1,7
