,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,13.0,563,505,58,3,0,0,6,55,0,0,0,0,464,0,4
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,1.5,39,38,1,0,0,0,1,0,0,0,0,0,28,0,0
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,13.6,600,583,14,8,3,6,19,6,0,0,0,0,500,3,6
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,241,238,3,2,3,2,8,1,0,0,0,0,200,0,5
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,261,240,19,2,2,0,12,0,1,0,0,0,202,2,6
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,17,16,1,0,0,0,0,1,0,0,0,0,12,0,1
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,78,78,0,0,0,0,1,0,0,0,0,0,69,0,2
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,567,503,61,24,0,0,0,0,0,0,0,0,455,3,1
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,1.7,63,53,10,3,0,0,9,2,4,0,4,0,44,0,0
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,11.0,471,468,2,2,3,2,2,0,0,0,0,0,421,1,3
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,12.4,257,246,11,1,0,0,2,1,0,0,0,0,214,0,8
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,2.5,48,44,3,0,0,0,0,0,0,0,0,0,35,1,1
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,11.0,224,215,8,0,10,0,8,0,0,0,0,0,150,1,12
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,8.3,560,520,38,11,3,3,1,3,0,0,0,0,515,2,4
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,9.3,495,430,65,20,0,7,21,30,8,4,1,1,410,0,5
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,0.1,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0
