,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23-237,2001,17.0,2,10,5,50.0,0.59,0.29,0.2,0.4,8.6,0,0,0,2.0,2.0,0.2,0.0,0.0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21-286,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-003,2001,13.0,0,8,3,37.5,0.61,0.23,0.0,0.0,11.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6
ENG-Premier League,2425,Brentford,Thiago,BRA,FW,23-180,2001,1.5,0,1,0,0.0,0.68,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26-227,1998,13.6,1,10,3,30.0,0.74,0.22,0.1,0.33,19.1,0,0,0,0.6,0.6,0.06,0.4,0.4
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-297,2004,4.4,0,5,1,20.0,1.13,0.23,0.0,0.0,16.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-111,1996,11.6,9,24,14,58.3,2.06,1.2,0.38,0.64,13.3,0,0,0,6.4,6.4,0.27,2.6,2.6
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-348,2006,0.2,0,1,0,0.0,4.29,0.0,0.0,,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,29-354,1995,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-127,2002,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-195,2001,1.1,0,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-206,2004,1.7,0,1,0,0.0,0.58,0.0,0.0,,24.8,1,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,20-355,2004,11.0,2,20,6,30.0,1.82,0.55,0.1,0.33,24.8,0,0,0,1.0,1.0,0.05,1.0,1.0
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-027,1990,12.4,6,35,13,37.1,2.83,1.05,0.17,0.46,15.8,7,0,0,5.6,5.6,0.16,0.4,0.4
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-065,2004,2.5,1,7,2,28.6,2.76,0.79,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-077,1999,4.3,1,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-247,2002,11.0,2,33,6,18.2,3.0,0.54,0.06,0.33,15.8,0,0,0,2.7,2.7,0.08,-0.7,-0.7
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26-320,1998,8.3,0,1,0,0.0,0.12,0.0,0.0,,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0
