,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Manchester Utd,Lisandro Martínez,ARG,DF,26-340,1998,14,14,1246,13.8,0,1,1,0,0,0,5,0,1.1,1.1,0.8,1.9,13,83,6,0.0,0.07,0.07,0.0,0.07,0.08,0.06,0.13,0.08,0.13
ENG-Premier League,2425,Manchester Utd,Luke Shaw,ENG,DF,29-164,1995,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Manchester Utd,Manuel Ugarte Ribeiro,URU,MF,23-256,2001,12,7,650,7.2,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.7,7,23,8,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1
ENG-Premier League,2425,Manchester Utd,Marcus Rashford,ENG,"FW,MF",27-053,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35
ENG-Premier League,2425,Manchester Utd,Mason Mount,ENG,"MF,FW",25-348,1999,8,4,247,2.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,2,8,5,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18
ENG-Premier League,2425,Manchester Utd,Matthijs de Ligt,NED,DF,25-133,1999,16,13,1139,12.7,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,3,23,3,0.08,0.0,0.08,0.08,0.08,0.1,0.01,0.1,0.1,0.1
ENG-Premier League,2425,Manchester Utd,Noussair Mazraoui,MAR,DF,27-039,1997,17,15,1249,13.9,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,17,55,20,0.0,0.07,0.07,0.0,0.07,0.03,0.02,0.04,0.03,0.04
ENG-Premier League,2425,Manchester Utd,Rasmus Højlund,DEN,FW,21-323,2003,12,8,721,8.0,2,0,2,2,0,0,1,0,1.9,1.9,0.9,2.8,11,9,33,0.25,0.0,0.25,0.25,0.25,0.24,0.11,0.35,0.24,0.35
ENG-Premier League,2425,Manchester Utd,Scott McTominay,SCO,MF,28-015,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33
ENG-Premier League,2425,Manchester Utd,Toby Collyer,ENG,MF,20-355,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2425,Manchester Utd,Tyrell Malacia,NED,DF,25-128,1999,2,2,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2425,Manchester Utd,Victor Lindelöf,SWE,"DF,MF",30-159,1994,5,0,63,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Newcastle Utd,Alexander Isak,SWE,FW,25-093,1999,15,15,1199,13.3,10,4,14,10,0,0,0,0,8.6,8.6,2.7,11.3,33,38,90,0.75,0.3,1.05,0.75,1.05,0.65,0.21,0.85,0.65,0.85
ENG-Premier League,2425,Newcastle Utd,Anthony Gordon,ENG,FW,23-303,2001,16,15,1273,14.1,3,3,6,2,1,2,1,0,5.3,3.8,3.2,6.9,59,43,110,0.21,0.21,0.42,0.14,0.35,0.38,0.22,0.6,0.27,0.49
ENG-Premier League,2425,Newcastle Utd,Bruno Guimarães,BRA,MF,27-037,1997,17,17,1475,16.4,1,4,5,1,0,0,3,0,1.8,1.8,2.7,4.5,22,111,27,0.06,0.24,0.31,0.06,0.31,0.11,0.16,0.28,0.11,0.28
ENG-Premier League,2425,Newcastle Utd,Callum Wilson,ENG,"FW,MF",32-300,1992,4,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Newcastle Utd,Dan Burn,ENG,DF,32-228,1992,16,16,1440,16.0,0,0,0,0,0,0,5,0,0.7,0.7,0.2,0.9,0,19,3,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
ENG-Premier League,2425,Newcastle Utd,Emil Krafth,SWE,DF,30-143,1994,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05
ENG-Premier League,2425,Newcastle Utd,Fabian Schär,SUI,DF,33-003,1991,15,15,1287,14.3,2,0,2,2,0,0,4,1,1.1,1.1,0.2,1.3,9,50,9,0.14,0.0,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09
ENG-Premier League,2425,Newcastle Utd,Harvey Barnes,ENG,FW,27-014,1997,17,6,751,8.3,5,1,6,5,0,0,0,0,2.7,2.7,2.4,5.1,40,39,78,0.6,0.12,0.72,0.6,0.72,0.32,0.29,0.61,0.32,0.61
ENG-Premier League,2425,Newcastle Utd,Jacob Murphy,ENG,FW,29-303,1995,14,10,777,8.6,3,5,8,3,0,0,2,0,1.7,1.7,3.0,4.8,30,39,69,0.35,0.58,0.93,0.35,0.93,0.2,0.35,0.55,0.2,0.55
ENG-Premier League,2425,Newcastle Utd,Joe Willock,ENG,"MF,FW",25-125,1999,14,6,525,5.8,0,1,1,0,0,0,2,0,0.7,0.7,1.1,1.8,17,21,41,0.0,0.17,0.17,0.0,0.17,0.11,0.2,0.31,0.11,0.31
