,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-256,2005,10,10,840,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,10,31,27,0.11,0.0,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25-260,1999,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38-354,1986,3,3,169,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-198,2000,15,14,1250,13.9,0,1,1,0,0,0,4,0,0.6,0.6,0.8,1.4,22,116,4,0.0,0.07,0.07,0.0,0.07,0.04,0.06,0.1,0.04,0.1
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-127,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-190,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"MF,FW",23-088,2001,11,9,769,8.5,4,3,7,4,0,0,1,0,2.5,2.5,1.7,4.2,34,32,50,0.47,0.35,0.82,0.47,0.82,0.29,0.19,0.49,0.29,0.49
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32-343,1992,12,12,1022,11.4,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,20,39,19,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",20-335,2004,9,0,159,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,10,7,13,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.39,0.26,0.39
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-217,1997,17,16,1447,16.1,3,2,5,3,0,0,0,0,4.0,4.0,3.4,7.3,86,52,172,0.19,0.12,0.31,0.19,0.31,0.25,0.21,0.46,0.25,0.46
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-032,1991,13,12,1084,12.0,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,9,77,1,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.1,0.05,0.1
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,MF,25-037,1999,13,4,471,5.2,1,1,2,1,0,0,2,0,0.5,0.5,0.6,1.0,5,34,8,0.19,0.19,0.38,0.19,0.38,0.09,0.1,0.19,0.09,0.19
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-032,2000,5,2,221,2.5,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,3,10,10,0.41,0.0,0.41,0.41,0.41,0.28,0.18,0.46,0.28,0.46
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26-337,1998,14,11,1064,11.8,0,1,1,0,0,0,3,0,0.5,0.5,1.6,2.1,31,60,68,0.0,0.08,0.08,0.0,0.08,0.04,0.14,0.18,0.04,0.18
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",22-357,2002,11,3,349,3.9,1,1,2,1,0,0,0,0,0.6,0.6,0.6,1.2,14,6,55,0.26,0.26,0.52,0.26,0.52,0.16,0.15,0.31,0.16,0.31
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-084,2000,6,3,260,2.9,1,2,3,1,0,0,0,0,0.1,0.1,0.4,0.5,12,6,20,0.35,0.69,1.04,0.35,1.04,0.04,0.14,0.18,0.04,0.18
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-154,2004,12,6,535,5.9,2,1,3,2,0,0,2,0,1.2,1.2,1.6,2.9,24,13,69,0.34,0.17,0.5,0.34,0.5,0.21,0.27,0.48,0.21,0.48
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-078,2003,14,9,832,9.2,0,0,0,0,0,0,2,0,1.1,1.1,1.0,2.2,14,33,36,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.23,0.12,0.23
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26-287,1998,4,3,274,3.0,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,3,11,1,0.33,0.0,0.33,0.33,0.33,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23-272,2001,4,2,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-039,1997,16,2,321,3.6,2,1,3,2,0,0,1,0,3.0,3.0,1.5,4.4,7,9,28,0.56,0.28,0.84,0.56,0.84,0.83,0.41,1.24,0.83,1.24
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22-231,2002,17,17,1477,16.4,11,6,17,8,3,3,3,0,10.4,8.0,6.5,14.5,56,102,80,0.67,0.37,1.04,0.49,0.85,0.63,0.39,1.03,0.49,0.88
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23-341,2001,16,12,1152,12.8,3,4,7,3,0,0,1,0,1.8,1.8,2.7,4.4,14,73,46,0.23,0.31,0.55,0.23,0.55,0.14,0.21,0.35,0.14,0.35
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22-251,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,24-273,2000,11,8,670,7.4,2,3,5,2,0,0,1,0,0.8,0.8,2.0,2.8,42,39,94,0.27,0.4,0.67,0.27,0.67,0.11,0.27,0.38,0.11,0.38
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-043,1999,9,2,298,3.3,1,1,2,1,0,0,2,0,1.8,1.8,0.9,2.7,17,20,19,0.3,0.3,0.6,0.3,0.6,0.54,0.27,0.8,0.54,0.8
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,26-108,1998,5,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21-301,2003,16,16,1439,16.0,0,0,0,0,0,0,3,0,0.4,0.4,0.7,1.0,4,69,0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21-218,2003,14,12,1046,11.6,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1,23,61,48,0.0,0.09,0.09,0.0,0.09,0.12,0.06,0.18,0.12,0.18
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-154,1998,15,13,1174,13.0,1,1,2,1,0,0,8,1,0.2,0.2,0.9,1.0,15,43,41,0.08,0.08,0.15,0.08,0.15,0.01,0.07,0.08,0.01,0.08
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18-354,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,MF,23-051,2001,17,17,1505,16.7,1,2,3,1,0,0,3,0,0.4,0.4,2.0,2.4,15,85,21,0.06,0.12,0.18,0.06,0.18,0.02,0.12,0.14,0.02,0.14
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,23-353,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.0,0.0,0.0,0.0,0.0,0.15,0.58,0.73,0.15,0.73
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-186,2001,16,16,1256,14.0,9,3,12,9,0,0,4,0,9.1,9.1,1.8,10.9,29,18,59,0.64,0.21,0.86,0.64,0.86,0.66,0.13,0.78,0.66,0.78
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,22-288,2002,16,13,1039,11.5,5,3,8,5,0,0,3,0,5.0,5.0,2.6,7.6,79,44,123,0.43,0.26,0.69,0.43,0.69,0.43,0.22,0.66,0.43,0.66
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,24-289,2000,14,8,808,9.0,1,2,3,1,0,0,5,0,0.6,0.6,2.4,3.1,52,15,86,0.11,0.22,0.33,0.11,0.33,0.07,0.27,0.34,0.07,0.34
ENG-Premier League,2425,Chelsea,Reece James,ENG,DF,25-015,1999,4,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-147,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,4,7,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-035,1997,16,16,1440,16.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20-352,2004,9,7,477,5.3,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,2,17,6,0.0,0.19,0.19,0.0,0.19,0.03,0.13,0.16,0.03,0.16
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-090,1997,7,5,443,4.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,12,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24-006,2000,12,12,1015,11.3,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.8,14,25,4,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20-204,2004,8,8,622,6.9,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,6,61,6,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19-086,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18-161,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21-189,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-350,2000,9,3,270,3.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,11,2,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24-270,2000,7,5,445,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28-140,1996,13,8,711,7.9,0,0,0,0,0,0,2,1,0.6,0.6,1.0,1.6,14,45,30,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.2,0.07,0.2
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28-211,1996,16,16,1353,15.0,2,1,3,2,0,0,5,0,2.7,2.7,1.7,4.4,23,38,93,0.13,0.07,0.2,0.13,0.2,0.18,0.11,0.29,0.18,0.29
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27-286,1997,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-177,1998,13,13,1078,12.0,1,2,3,1,0,0,0,0,3.5,3.5,2.1,5.6,36,54,76,0.08,0.17,0.25,0.08,0.25,0.29,0.18,0.47,0.29,0.47
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-207,1999,12,6,579,6.4,0,1,1,0,0,0,2,0,1.4,1.4,1.3,2.7,27,10,46,0.0,0.16,0.16,0.0,0.16,0.22,0.2,0.42,0.22,0.42
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-302,1998,17,10,1005,11.2,4,2,6,4,0,0,3,0,3.5,3.5,3.2,6.7,31,28,74,0.36,0.18,0.54,0.36,0.54,0.31,0.29,0.6,0.31,0.6
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-178,1997,17,15,1253,13.9,4,1,5,3,1,1,2,0,5.0,4.2,1.9,6.1,16,22,59,0.29,0.07,0.36,0.22,0.29,0.36,0.14,0.49,0.3,0.44
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,MF,30-059,1994,13,9,824,9.2,0,0,0,0,0,0,4,0,0.5,0.5,0.9,1.4,5,40,17,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.05,0.15
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32-000,1992,11,0,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,4,8,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.23,0.14,0.23
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28-206,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33-103,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21-073,2003,7,2,229,2.5,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,7,4,0.39,0.0,0.39,0.39,0.39,0.18,0.14,0.31,0.18,0.31
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24-163,2000,17,17,1530,17.0,2,1,3,2,0,0,4,0,1.3,1.3,0.5,1.9,8,70,3,0.12,0.06,0.18,0.12,0.18,0.08,0.03,0.11,0.08,0.11
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24-261,2000,14,14,1260,14.0,1,1,2,1,0,0,3,0,1.4,1.4,0.3,1.7,3,34,1,0.07,0.07,0.14,0.07,0.14,0.1,0.02,0.12,0.1,0.12
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33-262,1991,8,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",26-342,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25-171,1999,10,10,880,9.8,2,0,2,2,0,0,1,0,0.9,0.9,0.4,1.3,6,26,4,0.2,0.0,0.2,0.2,0.2,0.09,0.04,0.13,0.09,0.13
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,25-113,1999,17,17,1474,16.4,0,3,3,0,0,0,2,0,0.3,0.3,2.8,3.2,31,35,97,0.0,0.18,0.18,0.0,0.18,0.02,0.17,0.19,0.02,0.19
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29-250,1995,15,10,953,10.6,0,2,2,0,0,0,6,0,0.7,0.7,1.4,2.1,14,48,13,0.0,0.19,0.19,0.0,0.19,0.07,0.14,0.2,0.07,0.2
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31-357,1993,14,13,1073,11.9,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.2,16,32,26,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.1,0.05,0.1
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,23-104,2001,2,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39-167,1985,14,14,1200,13.3,1,3,4,1,0,0,5,1,0.2,0.2,1.1,1.4,15,73,12,0.07,0.23,0.3,0.07,0.3,0.02,0.09,0.1,0.02,0.1
ENG-Premier League,2425,Everton,Beto,GNB,FW,26-327,1998,10,1,205,2.3,1,0,1,1,0,0,1,0,1.6,1.6,0.0,1.6,3,1,12,0.44,0.0,0.44,0.44,0.44,0.71,0.0,0.71,0.71,0.71
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27-282,1997,16,15,1231,13.7,2,1,3,2,0,0,1,0,4.4,4.4,0.4,4.7,19,13,83,0.15,0.07,0.22,0.15,0.22,0.32,0.03,0.35,0.32,0.35
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",25-031,1999,13,13,1140,12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17-339,2007,2,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,35-088,1989,15,13,1160,12.9,0,0,0,0,0,0,2,0,0.7,0.7,0.6,1.3,13,62,8,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.1,0.06,0.1
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,24-292,2000,16,14,1256,14.0,2,0,2,2,0,0,2,0,1.4,1.4,1.2,2.6,55,26,67,0.14,0.0,0.14,0.14,0.14,0.1,0.09,0.19,0.1,0.19
ENG-Premier League,2425,Everton,Jack Harrison,ENG,FW,28-033,1996,15,9,804,8.9,0,0,0,0,0,0,0,0,2.1,2.1,1.5,3.6,20,17,52,0.0,0.0,0.0,0.0,0.0,0.24,0.17,0.41,0.24,0.41
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23-222,2001,2,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,James Garner,ENG,"DF,MF",23-285,2001,4,2,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,32-034,1992,16,16,1431,15.9,0,0,0,0,0,0,3,0,0.7,0.7,1.3,2.0,2,31,2,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22-179,2002,9,7,638,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,24-298,2000,12,6,537,6.0,0,0,0,0,0,0,0,0,1.4,1.4,0.9,2.3,17,9,36,0.0,0.0,0.0,0.0,0.0,0.23,0.16,0.39,0.23,0.39
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30-291,1994,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Mason Holgate,ENG,"FW,DF",28-062,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31-347,1993,9,9,810,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.0,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,23-068,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,0.0,0.87
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26-280,1998,13,8,766,8.5,1,0,1,1,0,0,1,0,0.5,0.5,0.5,1.1,4,24,12,0.12,0.0,0.12,0.12,0.12,0.06,0.06,0.13,0.06,0.13
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19-363,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,36-073,1988,2,1,107,1.2,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,6,2,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21-176,2003,6,4,383,4.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,10,7,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25-208,1999,14,14,1195,13.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,10,41,29,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28-333,1996,16,10,850,9.4,1,3,4,1,0,0,2,0,2.9,2.9,2.6,5.5,47,31,74,0.11,0.32,0.42,0.11,0.42,0.31,0.28,0.58,0.31,0.58
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28-234,1996,17,17,1479,16.4,5,3,8,5,0,0,1,0,2.7,2.7,3.5,6.2,65,104,122,0.3,0.18,0.49,0.3,0.49,0.16,0.21,0.38,0.16,0.38
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28-357,1996,15,13,1011,11.2,2,0,2,2,0,1,5,0,2.8,2.0,2.0,4.1,11,57,46,0.18,0.0,0.18,0.18,0.18,0.25,0.18,0.43,0.18,0.36
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,27-137,1997,17,17,1530,17.0,0,6,6,0,0,0,3,0,0.3,0.3,2.7,3.0,53,62,124,0.0,0.35,0.35,0.0,0.35,0.02,0.16,0.18,0.02,0.18
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32-294,1992,17,17,1530,17.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24-358,1999,16,16,1440,16.0,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.3,9,44,6,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,MF,29-273,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.36,0.0,1.36,1.36,1.36
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24-148,2000,16,14,1090,12.1,3,2,5,3,0,0,1,0,2.2,2.2,1.0,3.1,35,74,63,0.25,0.17,0.41,0.25,0.41,0.18,0.08,0.26,0.18,0.26
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29-331,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.13,0.02,0.13
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27-276,1997,13,3,423,4.7,3,0,3,3,0,0,2,0,1.8,1.8,0.0,1.8,7,20,38,0.64,0.0,0.64,0.64,0.64,0.38,0.01,0.39,0.38,0.39
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27-349,1997,12,9,843,9.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,17,1,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,22-029,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28-206,1996,8,8,693,7.7,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.5,3,35,1,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
