,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,23-248,2001,9,788,88,51.5,8.8,9,88,7,0,,0,1.44,19,11,8,0.91,0.19,17.5,9.6,7.9,0.9,1.43
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17-134,2007,4,85,21,5.6,0.9,1,61,0,3,8,2,1.5,1,1,0,0.0,-0.87,2.1,0.9,1.3,1.34,1.2
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22-100,2002,17,911,54,59.5,10.1,10,74,3,7,24,0,1.35,25,15,10,0.99,0.41,16.4,17.4,-1.0,-0.09,-0.74
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25-101,1999,17,1438,85,94.0,16.0,15,90,13,2,46,0,1.35,35,24,11,0.69,-2.25,29.3,27.0,2.3,0.14,-1.06
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,22-324,2002,10,806,81,52.7,9.0,8,90,8,2,43,7,1.3,20,17,3,0.33,-1.03,16.1,20.5,-4.4,-0.49,-1.47
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,27-227,1997,5,90,18,5.9,1.0,0,,0,5,18,0,2.0,4,0,4,4.0,3.38,2.3,0.6,1.7,1.66,1.55
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27-181,1997,10,535,54,35.0,5.9,7,73,1,3,8,0,1.3,10,9,1,0.17,-1.01,12.5,8.0,4.5,0.76,0.85
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,"DF,MF",28-007,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32-168,1992,14,1066,76,69.7,11.8,13,79,7,1,34,0,1.43,29,19,10,0.84,0.07,21.0,21.9,-0.9,-0.08,-0.94
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",28-292,1996,14,409,29,26.7,4.5,3,74,0,11,17,3,1.0,9,9,0,0.0,-1.12,9.4,8.8,0.6,0.13,-0.1
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,FW,19-247,2005,2,10,5,0.7,0.1,0,,0,2,5,7,2.0,0,0,0,0.0,-0.83,0.4,0.0,0.4,3.84,3.66
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,FW,20-025,2004,3,162,54,10.6,1.8,2,70,0,1,23,0,1.0,3,1,2,1.11,0.32,3.0,1.8,1.2,0.65,0.5
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28-115,1996,13,828,64,54.1,9.2,9,83,3,4,21,1,1.23,22,15,7,0.76,-0.14,15.5,17.3,-1.8,-0.2,-0.88
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35-008,1989,5,32,6,2.1,0.4,0,,0,5,6,7,2.4,0,0,0,0.0,0.48,0.7,1.1,-0.4,-1.07,-0.8
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27-027,1997,16,1354,85,88.5,15.0,15,88,13,1,29,1,1.25,21,28,-7,-0.47,0.05,20.8,26.7,-5.8,-0.39,-0.86
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,31-300,1993,8,675,84,44.1,7.5,8,84,7,0,,6,1.0,11,14,-3,-0.4,0.13,10.6,11.6,-1.0,-0.13,0.28
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,24-224,2000,5,51,10,3.3,0.6,0,,0,5,10,7,0.8,0,0,0,0.0,0.49,1.0,1.5,-0.5,-0.82,-0.55
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,MF,27-356,1997,13,607,47,39.7,6.7,6,64,0,7,32,0,1.23,7,9,-2,-0.3,0.29,7.7,12.4,-4.7,-0.7,-0.68
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23-054,2001,16,641,40,41.9,7.1,6,63,0,10,26,1,1.06,12,15,-3,-0.42,0.08,11.8,13.9,-2.1,-0.3,-0.01
ENG-Premier League,2425,West Ham,Danny Ings,ENG,FW,32-153,1992,9,180,20,11.8,2.0,1,45,0,8,17,7,1.33,3,2,1,0.5,1.1,6.4,2.4,4.0,1.99,2.59
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27-060,1997,13,793,61,51.8,8.8,9,76,2,4,27,0,1.15,7,13,-6,-0.68,-0.44,12.3,14.2,-1.9,-0.21,0.16
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30-142,1994,16,1175,73,76.8,13.1,15,76,4,1,29,0,1.19,19,26,-7,-0.54,-0.28,17.0,22.7,-5.7,-0.43,-0.63
ENG-Premier League,2425,West Ham,Ezra Mayers,BRB,DF,17-342,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,30-255,1994,15,824,55,53.9,9.2,11,73,3,4,6,1,1.27,12,16,-4,-0.44,0.07,12.9,16.0,-3.1,-0.34,-0.11
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30-052,1994,1,18,18,1.2,0.2,0,,0,1,18,1,0.0,0,1,-1,-5.0,-4.58,0.9,0.3,0.6,3.43,3.77
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28-003,1996,17,1506,89,98.4,16.7,17,89,14,0,,0,1.18,22,29,-7,-0.42,3.33,23.6,29.1,-5.5,-0.33,-2.5
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,24-359,1999,12,697,58,45.6,7.7,7,85,6,5,20,3,1.5,13,16,-3,-0.39,0.15,13.0,12.6,0.4,0.05,0.62
