playerid,footed,Id,Name
/en/players/d2583bce/Callum-Paterson,Right Foot,d2583bce,Callum-Paterson
/en/players/a300ac7e/Lucas-Perez,Left Foot,a300ac7e,Lucas-Perez
/en/players/ff9fcd4d/Alex-Pritchard,Right Foot,ff9fcd4d,Alex-Pritchard
/en/players/fd3f57ce/Jason-Puncheon,Left Foot,fd3f57ce,Jason-Puncheon
/en/players/19b8b0b9/Collin-Quaner,Right Foot,19b8b0b9,Collin-Quaner
/en/players/3730fcbc/Joe-Ralls,Left Foot,3730fcbc,Joe-Ralls
/en/players/ef619b0b/Aaron-Ramsey,Right Foot,ef619b0b,Aaron-Ramsey
/en/players/afef14da/Jazz-Richards,Right Foot,afef14da,Jazz-Richards
/en/players/5f0241b2/Sergio-Rico,Right Foot,5f0241b2,Sergio-Rico
/en/players/4b6bcb0d/Aaron-Rowe,No Data,4b6bcb0d,Aaron-Rowe
/en/players/4830e0af/Abdelhamid-Sabiri,Right Foot,4830e0af,Abdelhamid-Sabiri
/en/players/381d7d54/Bakary-Sako,Left Foot,381d7d54,Bakary-Sako
/en/players/2c0f8e9e/Alexis-Sanchez,Right Foot,2c0f8e9e,Alexis-Sanchez
/en/players/8ae9869d/Christopher-Schindler,Right Foot,8ae9869d,Christopher-Schindler
/en/players/ecbb3fdf/Andre-Schurrle,Right Foot,ecbb3fdf,Andre-Schurrle
/en/players/10efd0e1/Jean-Seri,Right Foot,10efd0e1,Jean-Seri
/en/players/d6f88a1d/Adrien-Silva,Right Foot,d6f88a1d,Adrien-Silva
/en/players/15d561fa/Xande-Silva,Right Foot,15d561fa,Xande-Silva
/en/players/3201b03d/Danny-Simpson,Right Foot,3201b03d,Danny-Simpson
/en/players/6d6f09dc/Josh-Sims,Right Foot,6d6f09dc,Josh-Sims
/en/players/059948df/Callum-Slattery,No Data,059948df,Callum-Slattery
/en/players/b6964eb6/Chris-Smalling,Right Foot,b6964eb6,Chris-Smalling
/en/players/e9208654/Tommy-Smith,Right Foot,e9208654,Tommy-Smith
/en/players/98be0d02/Ramadan-Sobhi,Right Foot,98be0d02,Ramadan-Sobhi
/en/players/46b5375e/Pape-Souare,Left Foot,46b5375e,Pape-Souare
/en/players/8e65a5e5/Julian-Speroni,Right Foot,8e65a5e5,Julian-Speroni
/en/players/1b7ec703/Daniel-Sturridge,Left Foot,1b7ec703,Daniel-Sturridge
/en/players/12c50af5/Denis-Suarez,Right Foot,12c50af5,Denis-Suarez
/en/players/e92cd3f7/Alexander-Sorloth,Left Foot,e92cd3f7,Alexander-Sorloth
/en/players/08aa17d0/Antonio-Valencia,Right Foot,08aa17d0,Antonio-Valencia
/en/players/2513a588/Luciano-Vietto,Right Foot,2513a588,Luciano-Vietto
/en/players/1d6ac165/Sam-Vokes,Right Foot,1d6ac165,Sam-Vokes
/en/players/1bebde9d/Michel-Vorm,Right Foot,1bebde9d,Michel-Vorm
/en/players/cfb29823/Danny-Ward,Right Foot,cfb29823,Danny-Ward
/en/players/3831b9fe/Stephen-Ward,Left Foot,3831b9fe,Stephen-Ward
/en/players/ec9a28ce/Danny-Williams,Right Foot,ec9a28ce,Danny-Williams
/en/players/2876eaa3/Ben-Wilmot,Right Foot,2876eaa3,Ben-Wilmot
